City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,collie,-33.3667,116.15,16.56,75,100,4.52,AU,1680212299
65,escarcega,18.6089,-90.7454,36.43,20,0,2.71,MX,1680212299
66,barrow,71.2906,-156.7887,-14.99,78,0,2.06,US,1680212299
67,kruisfontein,-34.0033,24.7314,13.82,95,6,2.42,ZA,1680212143
68,beira,-19.8436,34.8389,23.05,100,20,2.57,MZ,1680212300
69,axim,4.8699,-2.2405,26.44,86,100,3.0,GH,1680212300
70,markova,48.6758,24.4138,3.59,84,100,2.93,UA,1680212301
71,saint anthony,45.0205,-93.218,3.05,65,100,5.14,US,1680212302
72,carnarvon,-24.8667,113.6333,22.74,74,83,3.39,AU,1680212302
73,bluff,-46.6,168.3333,10.61,84,37,2.9,NZ,1680212143
74,high level,58.5169,-117.136,-1.94,54,75,5.14,CA,1680212109
75,taoudenni,22.6783,-3.9836,28.39,9,0,7.44,ML,1680212303
76,tuktoyaktuk,69.4541,-133.0374,-17.0,71,0,7.2,CA,1680212303
77,saint-joseph,-21.3667,55.6167,25.21,85,72,3.44,RE,1680212304
78,kaitangata,-46.2817,169.8464,13.31,78,90,2.14,NZ,1680212304
79,cidreira,-30.1811,-50.2056,23.47,81,100,3.05,BR,1680212306
80,aswan,24.0934,32.907,18.61,32,0,5.14,EG,1680212306
81,yellowknife,62.456,-114.3525,-10.71,52,20,1.03,CA,1680212231
82,bethel,41.3712,-73.414,7.24,30,0,5.66,US,1680212226
83,caravelas,-17.7125,-39.2481,25.47,77,3,3.15,BR,1680212307
84,cherskiy,68.75,161.3,-10.27,93,98,3.66,RU,1680212308
85,kavieng,-2.5744,150.7967,26.12,81,100,2.37,PG,1680212308
86,clyde river,70.4692,-68.5914,-17.87,78,100,2.06,CA,1680212308
87,denpasar,-8.65,115.2167,25.81,100,20,0.51,ID,1680212199
88,balabac,7.9868,117.0645,26.36,81,100,1.72,PH,1680212309
89,semibratovo,57.3046,39.5369,0.46,94,100,4.02,RU,1680212310
90,vanimo,-2.6741,141.3028,26.08,84,99,2.06,PG,1680212192
91,albany,42.6001,-73.9662,3.86,35,52,4.61,US,1680212111
92,egvekinot,66.3167,-179.1667,-13.47,84,33,0.65,RU,1680212310
93,christchurch,-43.5333,172.6333,13.84,81,40,4.12,NZ,1680211758
94,hofn,64.2539,-15.2082,6.92,96,100,8.79,IS,1680212311
95,waipawa,-41.4122,175.5153,12.41,83,97,1.95,NZ,1680212312
